Company,Metric,Lag,Test,F_statistic,p_value,Significant
Amazon,Volatility,12,params_ftest,1.409014,0.164826,False
Google,Price,1,ssr_ftest,0.160644,0.688957,False
Google,Price,1,ssr_chi2test,0.162855,0.686541,False
Google,Price,1,lrtest,0.162795,0.686596,False
Google,Price,1,params_ftest,0.160644,0.688957,False
Google,Price,2,ssr_ftest,1.621478,0.200013,False
Google,Price,2,ssr_chi2test,3.318373,0.190294,False
Google,Price,2,lrtest,3.293595,0.192666,False
Google,Price,2,params_ftest,1.621478,0.200013,False
Google,Price,3,ssr_ftest,1.300449,0.275286,False
Google,Price,3,ssr_chi2test,4.030164,0.258225,False
Google,Price,3,lrtest,3.99353,0.262164,False
Google,Price,3,params_ftest,1.300449,0.275286,False
Google,Price,4,ssr_ftest,1.213807,0.305993,False
Google,Price,4,ssr_chi2test,5.064306,0.280763,False
Google,Price,4,lrtest,5.006378,0.286644,False
Google,Price,4,params_ftest,1.213807,0.305993,False
Google,Price,5,ssr_ftest,1.64825,0.148732,False
Google,Price,5,ssr_chi2test,8.681319,0.122471,False
Google,Price,5,lrtest,8.512163,0.130177,False
Google,Price,5,params_ftest,1.64825,0.148732,False
Google,Price,6,ssr_ftest,1.589942,0.151625,False
Google,Price,6,ssr_chi2test,10.150564,0.118453,False
Google,Price,6,lrtest,9.919278,0.128093,False
Google,Price,6,params_ftest,1.589942,0.151625,False
Google,Price,7,ssr_ftest,1.73223,0.103283,False
Google,Price,7,ssr_chi2test,13.03503,0.071259,False
Google,Price,7,lrtest,12.655164,0.080969,False
Google,Price,7,params_ftest,1.73223,0.103283,False
Google,Price,8,ssr_ftest,1.5157,0.153692,False
Google,Price,8,ssr_chi2test,13.171969,0.106068,False
Google,Price,8,lrtest,12.782496,0.119556,False
Google,Price,8,params_ftest,1.5157,0.153692,False
Google,Price,9,ssr_ftest,1.455479,0.167073,False
Google,Price,9,ssr_chi2test,14.382234,0.109363,False
Google,Price,9,lrtest,13.917481,0.125291,False
Google,Price,9,params_ftest,1.455479,0.167073,False
Google,Price,10,ssr_ftest,1.37026,0.196663,False
Google,Price,10,ssr_chi2test,15.209171,0.12462,False
Google,Price,10,lrtest,14.688372,0.143843,False
Google,Price,10,params_ftest,1.37026,0.196663,False
Google,Price,11,ssr_ftest,1.210133,0.282634,False
Google,Price,11,ssr_chi2test,14.939997,0.18526,False
Google,Price,11,lrtest,14.43479,0.209861,False
